cat,start,target
Liverpool,1992-08-19,1
Liverpool,1992-08-23,-2
Liverpool,1992-09-01,0
Liverpool,1992-09-05,1
Liverpool,1992-09-26,'-1
Liverpool,1992-10-03,1
Liverpool,1992-10-25,3
Liverpool,1992-11-07,3
Liverpool,1992-11-28,5
Liverpool,1992-12-13,1
Liverpool,1992-12-28,0
Liverpool,1993-01-09,'-1
Liverpool,1993-02-06,0
Liverpool,1993-02-20,0
Liverpool,1993-03-06,'-1
Liverpool,1993-03-10,1
Liverpool,1993-03-20,1
Liverpool,1993-04-10,1
Liverpool,1993-04-17,4
Liverpool,1993-04-21,2
Liverpool,1993-05-08,4
Liverpool,1993-08-14,2
Liverpool,1993-08-25,'-1
Liverpool,1993-08-28,2
Liverpool,1993-09-12,'-1
Liverpool,1993-10-02,0
Liverpool,1993-10-16,1
Liverpool,1993-10-30,2
Liverpool,1993-11-06,2
Liverpool,1993-11-28,1
Liverpool,1993-12-08,1
Liverpool,1993-12-11,0
Liverpool,1993-12-28,0
Liverpool,1994-01-04,0
Liverpool,1994-01-22,1
Liverpool,1994-02-26,1
Liverpool,1994-03-13,1
Liverpool,1994-03-19,1
Liverpool,1994-04-02,'-1
Liverpool,1994-04-09,1
Liverpool,1994-04-16,'-2
Liverpool,1994-04-30,'-1
Liverpool,1994-08-28,3
Liverpool,1994-09-10,0
Liverpool,1994-10-01,3
Liverpool,1994-10-08,1
Liverpool,1994-10-22,3
Liverpool,1994-11-05,1
Liverpool,1994-11-09,2
Liverpool,1994-11-26,0
Liverpool,1994-12-11,0
Liverpool,1994-12-28,2
Liverpool,1995-01-02,4
Liverpool,1995-01-14,'-1
Liverpool,1995-01-24,0
Liverpool,1995-02-11,0
Liverpool,1995-03-04,2
Liverpool,1995-03-14,'-1
Liverpool,1995-03-19,2
Liverpool,1995-04-05,2
Liverpool,1995-04-09,'-1
Liverpool,1995-04-17,2
Liverpool,1995-05-14,1
Liverpool,1995-08-19,1
Liverpool,1995-08-30,1
Liverpool,1995-09-16,3
Liverpool,1995-09-23,3
Liverpool,1995-10-14,0
Liverpool,1995-10-28,6
Liverpool,1995-11-18,'-1
Liverpool,1995-12-02,0
Liverpool,1995-12-17,2
Liverpool,1995-12-23,2
Liverpool,1996-01-01,2
Liverpool,1996-01-20,5
Liverpool,1996-02-03,0
Liverpool,1996-03-03,3
Liverpool,1996-03-13,0
Liverpool,1996-03-16,2
Liverpool,1996-04-03,1
Liverpool,1996-04-08,2
Liverpool,1996-04-27,1
Liverpool,1996-08-19,2
Liverpool,1996-08-24,0
Liverpool,1996-09-07,1
Liverpool,1996-09-21,4
Liverpool,1996-10-27,1
Liverpool,1996-11-20,0
Liverpool,1996-11-23,0
Liverpool,1996-12-07,'-1
Liverpool,1996-12-14,4
Liverpool,1996-12-17,2
Liverpool,1996-12-26,0
Liverpool,1997-01-11,0
Liverpool,1997-01-18,3
Liverpool,1997-02-19,4
Liverpool,1997-02-22,0
Liverpool,1997-03-10,1
Liverpool,1997-04-06,'-1
Liverpool,1997-04-19,'-2
Liverpool,1997-05-03,1
Liverpool,1997-08-13,'-1
Liverpool,1997-09-13,1
Liverpool,1997-09-22,3
Liverpool,1997-10-05,2
Liverpool,1997-10-25,4
Liverpool,1997-11-08,4
Liverpool,1997-11-22,'-1
Liverpool,1997-12-06,'-2
Liverpool,1997-12-20,1
Liverpool,1997-12-26,2
Liverpool,1998-01-10,2
Liverpool,1998-01-20,1
Liverpool,1998-01-31,0
Liverpool,1998-02-07,'-1
Liverpool,1998-02-23,0
Liverpool,1998-03-07,1
Liverpool,1998-04-13,1
Liverpool,1998-05-02,5
Liverpool,1998-05-06,4
Liverpool,1998-08-22,0
Liverpool,1998-09-09,2
Liverpool,1998-09-19,0
Liverpool,1998-10-04,0
Liverpool,1998-10-24,4
Liverpool,1998-11-07,'-1
Liverpool,1998-11-14,'-2
Liverpool,1998-11-29,2
Liverpool,1998-12-19,2
Liverpool,1998-12-28,2
Liverpool,1999-01-16,6
Liverpool,1999-02-06,2
Liverpool,1999-02-20,0
Liverpool,1999-04-03,1
Liverpool,1999-04-17,'-1
Liverpool,1999-04-21,'-1
Liverpool,1999-05-01,1
Liverpool,1999-05-05,0
Liverpool,1999-05-16,3
Liverpool,1999-08-14,'-1
Liverpool,1999-08-28,2
Liverpool,1999-09-11,'-1
Liverpool,1999-09-27,'-1
Liverpool,1999-10-16,1
Liverpool,1999-10-27,1
Liverpool,1999-11-01,2
Liverpool,1999-11-06,2
Liverpool,1999-12-05,3
Liverpool,1999-12-18,2
Liverpool,1999-12-28,2
Liverpool,2000-01-22,0
Liverpool,2000-02-05,2
Liverpool,2000-03-11,0
Liverpool,2000-03-15,0
Liverpool,2000-03-25,1
Liverpool,2000-04-09,2
Liverpool,2000-05-03,'-2
Liverpool,2000-05-07,0
Liverpool,2000-08-19,1
Liverpool,2000-09-06,2
Liverpool,2000-09-09,1
Liverpool,2000-09-23,0
Liverpool,2000-10-21,1
Liverpool,2000-10-29,2
Liverpool,2000-11-12,3
Liverpool,2000-12-02,3
Liverpool,2000-12-10,'-1
Liverpool,2000-12-23,4
Liverpool,2001-01-01,1
Liverpool,2001-01-20,0
Liverpool,2001-02-03,3
Liverpool,2001-03-18,0
Liverpool,2001-03-31,2
Liverpool,2001-04-13,'-1
Liverpool,2001-04-22,2
Liverpool,2001-05-05,3
Liverpool,2001-05-08,0
Liverpool,2001-08-18,1
Liverpool,2001-09-08,'-2
Liverpool,2001-09-22,1
Liverpool,2001-10-13,0
Liverpool,2001-11-04,2
Liverpool,2001-11-25,1
Liverpool,2001-12-08,2
Liverpool,2001-12-12,0
Liverpool,2001-12-23,'-1
Liverpool,2002-01-01,0
Liverpool,2002-01-19,0
Liverpool,2002-01-30,1
Liverpool,2002-02-23,0
Liverpool,2002-03-06,3
Liverpool,2002-03-24,1
Liverpool,2002-03-30,2
Liverpool,2002-04-20,2
Liverpool,2002-05-08,1
Liverpool,2002-05-11,5
Liverpool,2002-08-24,3
Liverpool,2002-09-02,0
Liverpool,2002-09-11,0
Liverpool,2002-09-21,2
Liverpool,2002-10-06,1
Liverpool,2002-10-26,1
Liverpool,2002-11-02,2
Liverpool,2002-11-17,0
Liverpool,2002-12-01,'-1
Liverpool,2002-12-22,0
Liverpool,2002-12-26,0
Liverpool,2003-01-11,0
Liverpool,2003-01-29,0
Liverpool,2003-02-08,0
Liverpool,2003-03-08,2
Liverpool,2003-03-23,2
Liverpool,2003-04-12,2
Liverpool,2003-04-21,1
Liverpool,2003-05-03,'-1
Liverpool,2003-08-17,'-1
Liverpool,2003-08-27,0
Liverpool,2003-09-20,1
Liverpool,2003-10-04,'-1
Liverpool,2003-10-25,2
Liverpool,2003-11-09,'-1
Liverpool,2003-11-30,2
Liverpool,2003-12-13,'-1
Liverpool,2003-12-26,2
Liverpool,2004-01-10,1
Liverpool,2004-01-31,0
Liverpool,2004-02-11,1
Liverpool,2004-03-17,3
Liverpool,2004-03-20,1
Liverpool,2004-04-04,4
Liverpool,2004-04-12,'-1
Liverpool,2004-04-17,0
Liverpool,2004-05-02,2
Liverpool,2004-05-15,0
Liverpool,2004-08-21,1
Liverpool,2004-09-11,3
Liverpool,2004-09-25,3
Liverpool,2004-10-23,2
Liverpool,2004-11-06,'-1
Liverpool,2004-11-13,1
Liverpool,2004-11-28,1
Liverpool,2004-12-14,0
Liverpool,2004-12-19,2
Liverpool,2004-12-28,1
Liverpool,2005-01-01,'-1
Liverpool,2005-01-15,'-1
Liverpool,2005-02-05,2
Liverpool,2005-03-16,0
Liverpool,2005-03-20,1
Liverpool,2005-04-02,1
Liverpool,2005-04-16,0
Liverpool,2005-04-30,0
Liverpool,2005-05-15,1
Liverpool,2005-08-20,1
Liverpool,2005-09-18,0
Liverpool,2005-10-02,'-3
Liverpool,2005-10-15,1
Liverpool,2005-10-29,2
Liverpool,2005-11-19,3
Liverpool,2005-12-03,3
Liverpool,2005-12-10,2
Liverpool,2005-12-26,2
Liverpool,2005-12-31,1
Liverpool,2006-01-14,1
Liverpool,2006-02-01,0
Liverpool,2006-02-14,1
Liverpool,2006-02-26,1
Liverpool,2006-03-04,0
Liverpool,2006-03-15,4
Liverpool,2006-03-25,2
Liverpool,2006-04-09,1
Liverpool,2006-04-29,2
Liverpool,2006-08-26,1
Liverpool,2006-09-20,2
Liverpool,2006-09-23,3
Liverpool,2006-10-14,0
Liverpool,2006-10-28,2
Liverpool,2006-11-04,2
Liverpool,2006-11-25,1
Liverpool,2006-11-29,0
Liverpool,2006-12-09,4
Liverpool,2006-12-23,2
Liverpool,2007-01-01,3
Liverpool,2007-01-20,2
Liverpool,2007-02-03,0
Liverpool,2007-02-24,4
Liverpool,2007-03-03,'-1
Liverpool,2007-03-31,3
Liverpool,2007-04-18,2
Liverpool,2007-04-21,2
Liverpool,2007-05-13,0
Liverpool,2007-08-19,0
Liverpool,2007-09-01,6
Liverpool,2007-09-22,0
Liverpool,2007-10-07,0
Liverpool,2007-10-28,0
Liverpool,2007-11-10,2
Liverpool,2007-12-02,4
Liverpool,2007-12-16,'-1
Liverpool,2007-12-22,3
Liverpool,2008-01-02,0
Liverpool,2008-01-21,0
Liverpool,2008-02-02,3
Liverpool,2008-02-23,1
Liverpool,2008-03-05,4
Liverpool,2008-03-08,3
Liverpool,2008-03-15,1
Liverpool,2008-03-30,1
Liverpool,2008-04-13,2
Liverpool,2008-05-04,1
Liverpool,2008-08-23,1
Liverpool,2008-09-13,1
Liverpool,2008-09-20,0
Liverpool,2008-10-18,1
Liverpool,2008-10-29,1
Liverpool,2008-11-08,3
Liverpool,2008-11-22,0
Liverpool,2008-12-01,0
Liverpool,2008-12-13,0
Liverpool,2008-12-26,3
Liverpool,2009-01-19,0
Liverpool,2009-02-01,2
Liverpool,2009-02-22,0
Liverpool,2009-03-03,2
Liverpool,2009-03-22,5
Liverpool,2009-04-11,4
Liverpool,2009-04-21,0
Liverpool,2009-05-03,3
Liverpool,2009-05-24,2
Liverpool,2009-08-19,4
Liverpool,2009-08-24,'-2
Liverpool,2009-09-12,4
Liverpool,2009-09-26,5
Liverpool,2009-10-25,2
Liverpool,2009-11-09,0
Liverpool,2009-11-21,0
Liverpool,2009-12-13,'-1
Liverpool,2009-12-16,1
Liverpool,2009-12-26,2
